an entertaining 2 hours awaits the audience in this film set in the early 80's .;pos
suddenly warren beatty doesn't look so absurd ) .;neg
by the time they show you , it doesn't matter .;neg
deniro is also affable , tough on the outside yet sentimental on the inside .;pos
its 100-minute running time feels like 100 years .;neg
this film would definitely not have been as good with anyone else in this role .;pos
because of freeman's powerful presence , he carries half the film by himself .;pos
every shot is choreographed as a portrait -- a living tribute to a great land .;pos
in short , rudolph has created a world that it's worth spending two hours in .;pos
kick boxing deaths and conflicted nuns are not the makings of a good comedy .;neg
the costumes are remarkable and have jean-paul gaultier written all over them .;pos
i was surprised how expressive an actor he proved himself to be here .;pos
and if i spoiled it for you , good , i saved you from wasting seven dollars .;neg
i like his quick-edit style , because it's abrasive and exhausting to watch .;pos
the problems in logic are flaws , but don't ruin the experience .;pos
connery plays his character with the exact amount of wit and experience needed .;pos
the flashbacks are good , but at times schroeder doesn't fill in the blanks .;pos
voiced by ming-na wen , mulan is disney's strongest female character to date .;pos
but these gags , and the gag behind the entire movie , quickly grows stale .;neg
enough of his trademark style remains , however , to reassure his supporters .;pos
the performances are hardly worth talking about .;neg
the look of the movie is as bland as the town and characters who populate it .;neg
"for about 160 out of its 170 minutes , "" saving private ryan "" is flawless .";pos
how obvious is it that he's gonna cheat on her and have to fess everything up ?;neg
another disappointing film from this year's so-called emerging masters series .;neg
there are many twists and turns that make this film different from most films .;pos
alicia silverstone is completely wasted playing jennifer , the babysitter .;neg
everything else in this movie was pointless , boring and just plain stupid .;neg
he manages to develop the main characters and most of the subplots adequately .;pos
the film has no social message like its predecessors .;neg
a slight romantic comedy with a feminist bent , but one with no edge to it .;neg
although , as typical disaster movies go , daylight isn't that bad .;pos
i find it quite entertaining , despite its complete lack of redeeming value .;neg
it's not thought provoking , but it's shiny , loud and fun . . .;pos
how hard is it to get someone familiar with the military to check these facts ?;neg
in fact , it might as well be since the dialogue is virtually non-existent .;neg
big momma's house is ridiculous _and_ not funny .;neg
"suffice to say that everything done right in "" wanda "" is done wrong here .";neg
not since beauty & the beast have animated characters had so much life to them .;pos
this movie is so pathetically pitiful that it's hard to know where to begin .;neg